SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
CCc1[nH]cc(n1)C(=O)N2CCC[C@@H]3[C@H]2C[N@](C3)C,m_22bbh_11403238_13462378,0.94,0.20,0.73
CN1CCC(CC1)CNC(=O)c2ccc(cc2Br)S(=O)(=O)N(C)C,m_22bbh_2563306_14580110,0.79,0.19,0.60
c1cc(cc(c1)F)c2ccc(s2)CN3CCN(CC3)C(=O)CCOc4ccc(c(c4)F)Cl,m_22bbh_571202_12112970,0.49,0.15,0.34
COCCOC1CCC(CC1)C(=O)NCCc2cc(cc(c2)Br)OC,m_22bbh_20613396_9600190,0.79,0.22,0.57
CC(C)(CC#N)C(=O)N1CC[C@@H](C1)Oc2cccnc2N(C)C,m_22bbh_13755968_15161190,0.85,0.17,0.68
C[C@H](c1ccc(c(c1)OC)OCc2ccncc2)NC(=O)c3cccc(c3)S(=O)(=O)NC(C)(C)C,m_22bbh_925608_60745,0.58,0.13,0.46
CC(C)c1c(snn1)C(=O)N2CC[C@H](C2)Cc3cccc(c3)O,m_22bbh_17654514_13578634,0.96,0.35,0.61
Cc1ccc(cc1)c2c(sc(n2)C)CC(=O)NCc3nnc4n3CCCC4,m_22bbh_19263728_59902,1.04,0.35,0.69
CC(C)[C@@H](CO)NC(=O)c1ccc(c(c1)F)Br,m_22bbh_8124974_2163482,0.85,0.26,0.60
c1cc(cc(c1)F)Cn2cc(nn2)C(=O)NC[C@@H]3CC4(CCOCC4)CO3,m_22bbh_12626982_7081450,0.75,0.26,0.49
CC(C)(C)OC(=O)N[C@@H](CCN1CCN(CC1)C)C(=O)N[C@H]2CCCn3c2nc(n3)COC,m_22bbh_7109232_17627868,0.68,0.15,0.53
CCOC(=O)c1c2c([nH]n1)CCN(C2)C(=O)C(C)(C)C,m_22bbh_20995446_293920,0.99,0.26,0.73
Cn1cnc2c1nc(cc2)C(=O)NCc3cc(ccn3)C(=O)OC,m_22bbh_7592988_21037650,0.72,0.20,0.52
Cc1cccn2c1nc(c2)CNC(=O)c3cc4cn[nH]c4c(c3)Cl,m_22bbh_4275344_18358674,0.72,0.15,0.56
C[C@H](CC(C)C)OCCC(=O)N1CC[C@](C1)(C(=O)NC)F,m_22bbh_20975038_6954452,0.89,0.23,0.66
Cc1[nH]cc(n1)C(=O)NCCc2ccc(c(c2)OC(F)F)OC,m_22bbh_2663326_4145154,0.92,0.21,0.70
C[C@@H](CC(=O)NCCN(Cc1ccccc1)c2ccccn2)c3ccc(cc3)OC(F)(F)F,m_22bbh_12856790_14931188,0.74,0.26,0.49
CN(S(=O)(=O)c1cc(c(cc1)Cl)C(=O)N[C@H]2CC[C@@H](CC2)Oc3nccnc3)C,m_22bbh_12808058_59912,0.65,0.14,0.51
