SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
C[C@H](C(=O)N1CCCCCC1)Sc2ccccc2Cl,m_22bbh_57673_1032868,1.10,0.35,0.75
C[C@H](C(=O)N1CCCCCC1)Sc2ccc(cc2)NC(=O)C,m_22bbh_57673_1032884,1.00,0.28,0.72
C[C@H](C(=O)N1CCCCCC1)Sc2cc(ccc2Cl)Cl,m_22bbh_57673_1032898,1.07,0.35,0.72
COC(=O)NCC(=O)N1CCCCCC1,m_22bbh_57673_1033058,0.88,0.22,0.67
C[C@H](C(=O)N1CCCCCC1)Sc2ccc(cc2)OC,m_22bbh_57673_1033192,1.06,0.32,0.74
Cc1c(c(n(n1)c2ccc(cc2)Cl)C)C(=O)N3CCCCCC3,m_22bbh_57673_1033530,1.01,0.49,0.52
c1cnccc1c2cc(no2)C(=O)N3CCCCCC3,m_22bbh_57673_1033826,0.80,0.22,0.58
c1cc(ccc1n2c3c(c(n2)C(=O)N4CCCCCC4)CCCCC3)Cl,m_22bbh_57673_1033886,0.89,0.23,0.65
CCc1nc(on1)CCCC(=O)N2CCCCCC2,m_22bbh_57673_1034722,0.94,0.33,0.61
CCCc1nc(on1)CCCC(=O)N2CCCCCC2,m_22bbh_57673_1034784,0.91,0.30,0.61
CCc1c(c([nH]c1C(=O)N2CCCCCC2)C)C(=O)C,m_22bbh_57673_1034890,0.96,0.30,0.66
CC(C)Sc1ccccc1C(=O)N2CCCCCC2,m_22bbh_57673_1035172,1.14,0.37,0.77
c1cc(c(nc1)SCc2ccc(cc2)C(=O)N)C(=O)N3CCCCCC3,m_22bbh_57673_1035174,1.04,0.37,0.67
c1conc1C(=O)N2CCCCCC2,m_22bbh_57673_1039694,0.89,0.29,0.59
Cc1c(cno1)C(=O)Nc2ccc(cc2)CC(=O)N3CCCCCC3,m_22bbh_57673_1041198,0.76,0.28,0.48
CC(C)Oc1ccc(cc1)NS(=O)(=O)CC(=O)N2CCCCCC2,m_22bbh_57673_1041210,0.89,0.26,0.63
c1cc(ccc1CN2CCC(CC2)CO)C(=O)N3CCCCCC3,m_22bbh_57673_1041212,0.74,0.27,0.47
CC(C)(C)OC(=O)N1CCC(CC1)(C(=O)N2CCCCCC2)Nc3ccccc3,m_22bbh_57673_1041216,0.86,0.34,0.52
c1c(cc2c(c1C(=O)N3CCCCCC3)nc[nH]2)F,m_22bbh_57673_1041218,0.96,0.24,0.72
CC(C)(C)OC(=O)N1CCC(CC1)(C(=O)N2CCCCCC2)OC,m_22bbh_57673_1041220,0.87,0.30,0.57
Cc1cc(c(n1c2ccc(cc2)Cl)C)C(=O)N3CCCCCC3,m_22bbh_57673_1041398,0.88,0.37,0.51
C[C@H](C(=O)N1CCCCCC1)NC(=O)c2ccc(s2)Br,m_22bbh_57673_1041436,1.04,0.37,0.67
Cc1cc(c2ccc(cc2n1)Br)C(=O)N3CCCCCC3,m_22bbh_57673_1041620,1.14,0.42,0.72
CCCCc1ccc(cc1)C(=O)CCC(=O)N2CCCCCC2,m_22bbh_57673_1042034,0.99,0.29,0.70
C1CCCN(CC1)C(=O)c2c3c(on2)CCCC3,m_22bbh_57673_1042210,1.03,0.35,0.68
COc1ccc(cc1)C(=O)CCCC(=O)N2CCCCCC2,m_22bbh_57673_1042216,1.07,0.37,0.69
c1cc(sc1c2cc(cc(c2)Cl)Cl)C(=O)N3CCCCCC3,m_22bbh_57673_1042372,0.81,0.22,0.58
CCCc1c(c([nH]c1C(=O)N2CCCCCC2)C)C(=O)OC,m_22bbh_57673_1042506,0.98,0.30,0.68
c1cc(cc2c1cc([nH]2)C(=O)N3CCCCCC3)OC(F)(F)F,m_22bbh_57673_1042534,0.81,0.27,0.54
c1c(c[nH]c1C(=O)N2CCCC2)C(=O)N3CCCCCC3,m_22bbh_57673_1042544,0.92,0.25,0.67
CS(=O)(=O)NC1(CCCCC1)C(=O)N2CCCCCC2,m_22bbh_57673_1043302,1.01,0.29,0.71
c1ccc(cc1)CN2[C@@H]([C@H](CCC2=O)C(=O)N3CCCCCC3)c4ccccc4,m_22bbh_57673_1043476,1.00,0.42,0.57
Cc1cc(n2c(n1)cc(n2)C)C(=O)N3CCCCCC3,m_22bbh_57673_1043478,1.16,0.39,0.76
c1ccc(cc1)COC(=O)NCCCC(=O)N2CCCCCC2,m_22bbh_57673_1043592,0.82,0.29,0.53
CN(CC(=O)N1CCCCCC1)C(=O)c2ccc(s2)Br,m_22bbh_57673_1043662,1.12,0.42,0.70
c1cc(c(cc1F)F)C(=O)CCC(=O)N2CCCCCC2,m_22bbh_57673_1044178,1.08,0.33,0.76
C[C@H](C(=O)N1CCCCCC1)n2cc(cn2)Cl,m_22bbh_57673_1044388,1.02,0.37,0.66
CCN(CC)CCOc1ccc(cc1)C(=O)N2CCCCCC2,m_22bbh_57673_1044956,0.80,0.32,0.47
C[C@H](C(=O)OC)Sc1ccccc1C(=O)N2CCCCCC2,m_22bbh_57673_1044960,1.14,0.32,0.82
CC(C)N1C(=O)c2ccc(cc2S1(=O)=O)C(=O)N3CCCCCC3,m_22bbh_57673_1054978,0.85,0.26,0.58
c1cc2c(cc1C(=O)N3CCCCCC3)S(=O)(=O)N(C2=O)C4CC4,m_22bbh_57673_1054988,0.87,0.33,0.54
CN1C(=O)c2ccc(cc2S1(=O)=O)C(=O)N3CCCCCC3,m_22bbh_57673_1054990,0.91,0.33,0.58
COc1cccc(c1)OCC(=O)N2CCCCCC2,m_22bbh_57673_1055072,1.02,0.29,0.73
CCCSCC(=O)N1CCCCCC1,m_22bbh_57673_1055140,0.85,0.22,0.62
CC(C)NC(=O)Nc1ccc(cc1)C(=O)N2CCCCCC2,m_22bbh_57673_1055766,0.76,0.27,0.50
C[C@H](C(=O)N1CCCCCC1)n2cc(cn2)Br,m_22bbh_57673_1056058,0.98,0.33,0.66
Cc1c(nc2c(cc(cc2n1)F)C(=O)N3CCCCCC3)C,m_22bbh_57673_1056146,1.00,0.36,0.64
